"param1","param2","param3","param4","param5","Variable","Iteration","NAME"
"1","1","1","1","1","CENTER","0","MVN_BIAS1_LHS_NOPAR"
"1","1","1","1","1","VAR","0","MVN_BIAS1_LHS_NOPAR"
"1","0","0","0","0","COV","0","MVN_BIAS1_LHS_NOPAR"
"0","1","0","0","0","COV","0","MVN_BIAS1_LHS_NOPAR"
"0","0","1","0","0","COV","0","MVN_BIAS1_LHS_NOPAR"
"0","0","0","1","0","COV","0","MVN_BIAS1_LHS_NOPAR"
"0","0","0","0","1","COV","0","MVN_BIAS1_LHS_NOPAR"
NA,NA,NA,NA,NA,"P975","0","MVN_BIAS1_LHS_NOPAR"
NA,NA,NA,NA,NA,"P025","0","MVN_BIAS1_LHS_NOPAR"
"0.462959746066536","0.515364179650845","0.498911867040493","0.457864725482556","0.461358189420824","CENTER","1","MVN_BIAS1_LHS_NOPAR"
"0.928147647232172","0.842680753550901","0.903071345913429","0.943438351221041","0.893238389952778","VAR","1","MVN_BIAS1_LHS_NOPAR"
"0.928147647232172","-0.085651227987627","-0.0751932105885925","-0.129729995994926","-0.038693015148522","COV","1","MVN_BIAS1_LHS_NOPAR"
"-0.085651227987627","0.842680753550901","-0.0858136384511015","-0.111479068019893","-0.119783029510414","COV","1","MVN_BIAS1_LHS_NOPAR"
"-0.0751932105885925","-0.0858136384511015","0.903071345913429","-0.115418012994427","-0.0778417760606271","COV","1","MVN_BIAS1_LHS_NOPAR"
"-0.129729995994926","-0.111479068019893","-0.115418012994427","0.943438351221041","-0.104746851236637","COV","1","MVN_BIAS1_LHS_NOPAR"
"-0.038693015148522","-0.119783029510414","-0.0778417760606271","-0.104746851236637","0.893238389952778","COV","1","MVN_BIAS1_LHS_NOPAR"
"-1.49035329741716","-1.38133397278943","-1.41428023500328","-1.41587802030821","-1.37148350122622","P025","1","MVN_BIAS1_LHS_NOPAR"
"2.27735745325646","2.2184016764774","2.26402565532561","2.39163212359996","2.34332956484422","P975","1","MVN_BIAS1_LHS_NOPAR"
"0.0938340319918325","0.125590097962541","0.100176364590114","0.0779629760916562","0.0793872385876448","CENTER","2","MVN_BIAS1_LHS_NOPAR"
"0.929941541286585","0.909042108971184","0.884695900836611","0.975535119872298","0.913306809749057","VAR","2","MVN_BIAS1_LHS_NOPAR"
"0.929941541286585","-0.0311702294995918","0.003552976611973","0.0422842471169712","-0.0305774719807112","COV","2","MVN_BIAS1_LHS_NOPAR"
"-0.0311702294995918","0.909042108971184","0.0321093460493082","-0.00686472570617553","0.00131156058149151","COV","2","MVN_BIAS1_LHS_NOPAR"
"0.003552976611973","0.0321093460493082","0.884695900836611","0.0237050080838897","-0.00520832377316764","COV","2","MVN_BIAS1_LHS_NOPAR"
"0.0422842471169712","-0.00686472570617553","0.0237050080838897","0.975535119872298","-0.00491935662524665","COV","2","MVN_BIAS1_LHS_NOPAR"
"-0.0305774719807112","0.00131156058149151","-0.00520832377316764","-0.00491935662524665","0.913306809749057","COV","2","MVN_BIAS1_LHS_NOPAR"
"-1.72131117921204","-1.64400510238808","-1.69359023045378","-1.91916539080221","-1.78329538080068","P025","2","MVN_BIAS1_LHS_NOPAR"
"2.12082080252098","1.99388015970196","1.94866492743622","2.05409947270777","1.97233848096396","P975","2","MVN_BIAS1_LHS_NOPAR"
"-0.0425621111171144","0.0295151521365412","0.00622446102105512","0.0204956651803103","0.026392071325544","CENTER","3","MVN_BIAS1_LHS_NOPAR"
"0.989639860716082","0.97225694654422","0.955255377861585","0.969306924654098","0.978844379175848","VAR","3","MVN_BIAS1_LHS_NOPAR"
"0.989639860716082","0.0124028641617174","-0.044485501324062","-0.0542617285977694","0.0757767739940102","COV","3","MVN_BIAS1_LHS_NOPAR"
"0.0124028641617174","0.97225694654422","-0.0388290399207118","-0.0403226559715855","-0.0102344196762185","COV","3","MVN_BIAS1_LHS_NOPAR"
"-0.044485501324062","-0.0388290399207118","0.955255377861585","-0.053774160421562","0.00655233402016987","COV","3","MVN_BIAS1_LHS_NOPAR"
"-0.0542617285977694","-0.0403226559715855","-0.053774160421562","0.969306924654098","0.00625526048978328","COV","3","MVN_BIAS1_LHS_NOPAR"
"0.0757767739940102","-0.0102344196762185","0.00655233402016987","0.00625526048978328","0.978844379175848","COV","3","MVN_BIAS1_LHS_NOPAR"
"-1.88376849599034","-1.9198049492712","-1.83187765393118","-1.79895638100594","-2.02385693022661","P025","3","MVN_BIAS1_LHS_NOPAR"
"1.8560715613454","1.93821991936033","1.90718969013245","1.99468197247984","1.95205905193707","P975","3","MVN_BIAS1_LHS_NOPAR"
"-0.00629125729896174","-0.00982492936621727","-0.0122122313626542","0.000886183569345814","-0.0227783449139073","CENTER","4","MVN_BIAS1_LHS_NOPAR"
"0.978722081533039","1.06046800825196","0.963289825823944","1.00082360063789","0.985169221309413","VAR","4","MVN_BIAS1_LHS_NOPAR"
"0.978722081533039","-0.0472047310838385","0.0438324145321982","0.0340457343795267","-0.0277233892375055","COV","4","MVN_BIAS1_LHS_NOPAR"
"-0.0472047310838385","1.06046800825196","0.0745815059073167","0.0273158508219706","-0.0222349715880594","COV","4","MVN_BIAS1_LHS_NOPAR"
"0.0438324145321982","0.0745815059073167","0.963289825823944","0.036976453386031","-0.0449200846564001","COV","4","MVN_BIAS1_LHS_NOPAR"
"0.0340457343795267","0.0273158508219706","0.036976453386031","1.00082360063789","0.00702687590857314","COV","4","MVN_BIAS1_LHS_NOPAR"
